SYMBOL ENSEMBL HOCOID
SP8 ENSG00000164651 M02898.2.00.SP8
ZNF143 ENSG00000166478 M02899.2.00.ZNF143
ZNF232 ENSG00000167840 M02900.2.00.ZNF232
ZBTB49 ENSG00000168826 M02901.2.00.ZBTB49
HIC2 ENSG00000169635 M02902.2.00.HIC2
KLF13 ENSG00000169926 M02903.2.00.KLF13
ZNF282 ENSG00000170265 M02904.2.00.ZNF282
ZNF524 ENSG00000171443 M02905.2.00.ZNF524
HINFP ENSG00000172273 M02907.2.00.HINFP
SP3 ENSG00000172845 M02910.2.00.SP3
GLIS1 ENSG00000174332 M02911.2.00.GLIS1
ZIC4 ENSG00000174963 M02912.2.00.ZIC4
ZNF713 ENSG00000178665 M02913.2.00.ZNF713
ZBTB7A ENSG00000178951 M02914.2.00.ZBTB7A
EGR3 ENSG00000179388 M02915.2.00.EGR3
ZBTB18 ENSG00000179456 M02916.2.00.ZBTB18
ZNF784 ENSG00000179922 M02918.2.00.ZNF784
ZSCAN4 ENSG00000180532 M02919.2.00.ZSCAN4
ZBTB7C ENSG00000184828 M02920.2.00.ZBTB7C
SP1 ENSG00000185591 M02921.2.00.SP1
MTF1 ENSG00000188786 M02922.2.00.MTF1
ZKSCAN3 ENSG00000189298 M02923.2.00.ZKSCAN3
ZSCAN16 ENSG00000196812 M02924.2.00.ZSCAN16
SCRT2 ENSG00000215397 M02925.2.00.SCRT2
YY2 ENSG00000230797 M02926.2.00.YY2
SCRT1 ENSG00000261678 M02929.2.00.SCRT1
KLF14 ENSG00000266265 M02930.2.00.KLF14
CENPB ENSG00000125817 M02939.2.00.CENPB
ONECUT2 ENSG00000119547 M02942.2.00.ONECUT2
ONECUT1 ENSG00000169856 M02943.2.00.ONECUT1
ONECUT3 ENSG00000205922 M02945.2.00.ONECUT3
E2F1 ENSG00000101412 M02952.2.00.E2F1
E2F3 ENSG00000112242 M02956.2.00.E2F3
E2F8 ENSG00000129173 M02959.2.00.E2F8
E2F7 ENSG00000165891 M02960.2.00.E2F7
E2F4 ENSG00000205250 M02961.2.00.E2F4
EBF1 ENSG00000164330 M02963.2.00.EBF1
ETV1 ENSG00000006468 M02964.2.00.ETV1
SPI1 ENSG00000066336 M02965.2.00.SPI1
ELF4 ENSG00000102034 M02966.2.00.ELF4
ETV2 ENSG00000105672 M02967.2.00.ETV2
ERF ENSG00000105722 M02968.2.00.ERF
ELK3 ENSG00000111145 M02969.2.00.ELK3
ETV3 ENSG00000117036 M02970.2.00.ETV3
ELF1 ENSG00000120690 M02971.2.00.ELF1
SPDEF ENSG00000124664 M02973.2.00.SPDEF
ELK1 ENSG00000126767 M02979.2.00.ELK1
ELF5 ENSG00000135374 M02988.2.00.ELF5
ETV6 ENSG00000139083 M02990.2.00.ETV6
FLI1 ENSG00000151702 M02992.2.00.FLI1
GABPA ENSG00000154727 M02996.2.00.GABPA
ELK4 ENSG00000158711 M03001.2.00.ELK4
ELF3 ENSG00000163435 M03002.2.00.ELF3
FEV ENSG00000163497 M03004.2.00.FEV
SPIC ENSG00000166211 M03005.2.00.SPIC
ETV4 ENSG00000175832 M03006.2.00.ETV4
ETV5 ENSG00000244405 M03007.2.00.ETV5
FOXJ2 ENSG00000065970 M03016.2.00.FOXJ2
FOXO3 ENSG00000118689 M03019.2.00.FOXO3
FOXO1 ENSG00000150907 M03022.2.00.FOXO1
FOXB1 ENSG00000171956 M03028.2.00.FOXB1
FOXC2 ENSG00000176692 M03036.2.00.FOXC2
FOXO4 ENSG00000184481 M03039.2.00.FOXO4
FOXD2 ENSG00000186564 M03042.2.00.FOXD2
FOXD3 ENSG00000187140 M03044.2.00.FOXD3
FOXO6 ENSG00000204060 M03049.2.00.FOXO6
GCM2 ENSG00000124827 M03067.2.00.GCM2
GRHL1 ENSG00000134317 M03071.2.00.GRHL1
TFCP2 ENSG00000135457 M03074.2.00.TFCP2
MEOX1 ENSG00000005102 M03077.2.00.MEOX1
DLX6 ENSG00000006377 M03078.2.00.DLX6
ALX4 ENSG00000052850 M03079.2.00.ALX4
GSC2 ENSG00000063515 M03080.2.00.GSC2
PITX1 ENSG00000069011 M03082.2.00.PITX1
HOXA9 ENSG00000078399 M03085.2.00.HOXA9
RHOXF1 ENSG00000101883 M03089.2.00.RHOXF1
MEIS3 ENSG00000105419 M03093.2.00.MEIS3
DLX5 ENSG00000105880 M03095.2.00.DLX5
HOXA1 ENSG00000105991 M03096.2.00.HOXA1
HOXA13 ENSG00000106031 M03098.2.00.HOXA13
EVX1 ENSG00000106038 M03102.2.00.EVX1
MEOX2 ENSG00000106511 M03103.2.00.MEOX2
PITX3 ENSG00000107859 M03111.2.00.PITX3
DLX4 ENSG00000108813 M03112.2.00.DLX4
OTX1 ENSG00000115507 M03116.2.00.OTX1
DLX2 ENSG00000115844 M03118.2.00.DLX2
TGIF2 ENSG00000118707 M03123.2.00.TGIF2
HOXB5 ENSG00000120075 M03125.2.00.HOXB5
HOXB3 ENSG00000120093 M03126.2.00.HOXB3
HOXC13 ENSG00000123364 M03129.2.00.HOXC13
HOXC11 ENSG00000123388 M03131.2.00.HOXC11
HOXC12 ENSG00000123407 M03135.2.00.HOXC12
HOXD11 ENSG00000128713 M03139.2.00.HOXD11
MNX1 ENSG00000130675 M03143.2.00.MNX1
BARX1 ENSG00000131668 M03144.2.00.BARX1
GSC ENSG00000133937 M03146.2.00.GSC
RAX ENSG00000134438 M03149.2.00.RAX
HNF1A ENSG00000135100 M03150.2.00.HNF1A
PDX1 ENSG00000139515 M03155.2.00.PDX1
BARHL2 ENSG00000143032 M03157.2.00.BARHL2
DLX1 ENSG00000144355 M03166.2.00.DLX1
HMBOX1 ENSG00000147421 M03167.2.00.HMBOX1
VAX1 ENSG00000148704 M03168.2.00.VAX1
TGIF2LX ENSG00000153779 M03171.2.00.TGIF2LX
ALX3 ENSG00000156150 M03172.2.00.ALX3
ISL2 ENSG00000159556 M03177.2.00.ISL2
PKNOX1 ENSG00000160199 M03178.2.00.PKNOX1
EN1 ENSG00000163064 M03180.2.00.EN1
MSX1 ENSG00000163132 M03184.2.00.MSX1
EN2 ENSG00000164778 M03189.2.00.EN2
UNCX ENSG00000164853 M03191.2.00.UNCX
GBX1 ENSG00000164900 M03193.2.00.GBX1
PHOX2A ENSG00000165462 M03194.2.00.PHOX2A
PKNOX2 ENSG00000165495 M03195.2.00.PKNOX2
OTX2 ENSG00000165588 M03197.2.00.OTX2
DRGX ENSG00000165606 M03199.2.00.DRGX
PRRX2 ENSG00000167157 M03200.2.00.PRRX2
GBX2 ENSG00000168505 M03201.2.00.GBX2
SHOX2 ENSG00000168779 M03204.2.00.SHOX2
GSX1 ENSG00000169840 M03205.2.00.GSX1
HOXD12 ENSG00000170178 M03206.2.00.HOXD12
EMX2 ENSG00000170370 M03210.2.00.EMX2
IRX2 ENSG00000170561 M03212.2.00.IRX2
HOXB2 ENSG00000173917 M03213.2.00.HOXB2
RAX2 ENSG00000173976 M03214.2.00.RAX2
EVX2 ENSG00000174279 M03215.2.00.EVX2
HOXD8 ENSG00000175879 M03221.2.00.HOXD8
IRX5 ENSG00000176842 M03222.2.00.IRX5
TGIF1 ENSG00000177426 M03223.2.00.TGIF1
LBX2 ENSG00000179528 M03224.2.00.LBX2
ALX1 ENSG00000180318 M03226.2.00.ALX1
GSX2 ENSG00000180613 M03227.2.00.GSX2
HOXC10 ENSG00000180818 M03228.2.00.HOXC10
MIXL1 ENSG00000185155 M03231.2.00.MIXL1
HMX3 ENSG00000188620 M03233.2.00.HMX3
HMX2 ENSG00000188816 M03234.2.00.HMX2
BSX ENSG00000188909 M03235.2.00.BSX
DMBX1 ENSG00000197587 M03236.2.00.DMBX1
DPRX ENSG00000204595 M03237.2.00.DPRX
NOTO ENSG00000214513 M03241.2.00.NOTO
HOMEZ ENSG00000215271 M03242.2.00.HOMEZ
HMX1 ENSG00000215612 M03243.2.00.HMX1
HNF1B ENSG00000275410 M03245.2.00.HNF1B
